Bevolking," leeftijd, migratieachtergrond, geslacht en regio, 1 januari",,,,,,,
,,Onderwerpen,Totale bevolking,Totale bevolking,Totale bevolking,Eerste generatie migratieachtergrond,Eerste generatie migratieachtergrond,Eerste generatie migratieachtergrond
25 tot 30 jaar,Berkelland,Totaal,2002,1086,916,102,53,49
25 tot 30 jaar,Berkelland,Nederlandse achtergrond,1813,985,828, , , 
25 tot 30 jaar,Berkelland,Westerse migratieachtergrond,86,38,48,39,15,24
25 tot 30 jaar,Berkelland,Niet-westerse migratieachtergrond,103,63,40,63,38,25
25 tot 30 jaar,Bernheze,Totaal,1498,762,736,144,77,67
25 tot 30 jaar,Bernheze,Nederlandse achtergrond,1272,645,627, , , 
25 tot 30 jaar,Bernheze,Westerse migratieachtergrond,146,75,71,96,48,48
25 tot 30 jaar,Bernheze,Niet-westerse migratieachtergrond,80,42,38,48,29,19
25 tot 30 jaar,Best,Totaal,1457,723,734,215,105,110
25 tot 30 jaar,Best,Nederlandse achtergrond,1130,559,571, , , 
25 tot 30 jaar,Best,Westerse migratieachtergrond,186,88,98,146,71,75
25 tot 30 jaar,Best,Niet-westerse migratieachtergrond,141,76,65,69,34,35
25 tot 30 jaar,Beuningen,Totaal,1291,663,628,82,53,29
25 tot 30 jaar,Beuningen,Nederlandse achtergrond,1123,565,558, , , 
25 tot 30 jaar,Beuningen,Westerse migratieachtergrond,73,46,27,31,20,11
25 tot 30 jaar,Beuningen,Niet-westerse migratieachtergrond,95,52,43,51,33,18
25 tot 30 jaar,Beverwijk,Totaal,2866,1417,1449,584,290,294
25 tot 30 jaar,Beverwijk,Nederlandse achtergrond,1856,918,938, , , 
25 tot 30 jaar,Beverwijk,Westerse migratieachtergrond,421,200,221,263,124,139
25 tot 30 jaar,Beverwijk,Niet-westerse migratieachtergrond,589,299,290,321,166,155
25 tot 30 jaar,het Bildt,Totaal,486,254,232,81,46,35
25 tot 30 jaar,het Bildt,Nederlandse achtergrond,387,199,188, , , 
25 tot 30 jaar,het Bildt,Westerse migratieachtergrond,51,24,27,39,16,23
25 tot 30 jaar,het Bildt,Niet-westerse migratieachtergrond,48,31,17,42,30,12
25 tot 30 jaar,De Bilt,Totaal,1728,879,849,221,103,118
25 tot 30 jaar,De Bilt,Nederlandse achtergrond,1303,670,633, , , 
25 tot 30 jaar,De Bilt,Westerse migratieachtergrond,165,85,80,87,41,46
25 tot 30 jaar,De Bilt,Niet-westerse migratieachtergrond,260,124,136,134,62,72
25 tot 30 jaar,Binnenmaas,Totaal,1354,684,670,107,64,43
25 tot 30 jaar,Binnenmaas,Nederlandse achtergrond,1183,588,595, , , 
25 tot 30 jaar,Binnenmaas,Westerse migratieachtergrond,62,31,31,29,17,12
25 tot 30 jaar,Binnenmaas,Niet-westerse migratieachtergrond,109,65,44,78,47,31
25 tot 30 jaar,Bladel,Totaal,1103,588,515,89,41,48
25 tot 30 jaar,Bladel,Nederlandse achtergrond,968,521,447, , , 
25 tot 30 jaar,Bladel,Westerse migratieachtergrond,91,48,43,55,25,30
25 tot 30 jaar,Bladel,Niet-westerse migratieachtergrond,44,19,25,34,16,18
25 tot 30 jaar,Blaricum,Totaal,416,193,223,51,20,31
25 tot 30 jaar,Blaricum,Nederlandse achtergrond,301,140,161, , , 
25 tot 30 jaar,Blaricum,Westerse migratieachtergrond,35,19,16,17,9,8
25 tot 30 jaar,Blaricum,Niet-westerse migratieachtergrond,80,34,46,34,11,23
25 tot 30 jaar,Bloemendaal,Totaal,525,275,250,120,53,67
25 tot 30 jaar,Bloemendaal,Nederlandse achtergrond,352,198,154, , , 
25 tot 30 jaar,Bloemendaal,Westerse migratieachtergrond,76,38,38,43,21,22
25 tot 30 jaar,Bloemendaal,Niet-westerse migratieachtergrond,97,39,58,77,32,45
25 tot 30 jaar,Bodegraven-Reeuwijk,Totaal,1825,954,871,158,73,85
25 tot 30 jaar,Bodegraven-Reeuwijk,Nederlandse achtergrond,1511,797,714, , , 
25 tot 30 jaar,Bodegraven-Reeuwijk,Westerse migratieachtergrond,141,66,75,92,42,50
25 tot 30 jaar,Bodegraven-Reeuwijk,Niet-westerse migratieachtergrond,173,91,82,66,31,35
25 tot 30 jaar,Boekel,Totaal,622,317,305,58,29,29
25 tot 30 jaar,Boekel,Nederlandse achtergrond,547,279,268, , , 
25 tot 30 jaar,Boekel,Westerse migratieachtergrond,57,27,30,42,19,23
25 tot 30 jaar,Boekel,Niet-westerse migratieachtergrond,18,11,7,16,10,6
25 tot 30 jaar,Ten Boer,Totaal,269,128,141,13,7,6
25 tot 30 jaar,Ten Boer,Nederlandse achtergrond,246,118,128, , , 
25 tot 30 jaar,Ten Boer,Westerse migratieachtergrond,10,3,7,3,1,2
25 tot 30 jaar,Ten Boer,Niet-westerse migratieachtergrond,13,7,6,10,6,4
25 tot 30 jaar,Borger-Odoorn,Totaal,1039,530,509,42,15,27
25 tot 30 jaar,Borger-Odoorn,Nederlandse achtergrond,961,499,462, , , 
25 tot 30 jaar,Borger-Odoorn,Westerse migratieachtergrond,39,16,23,14,6,8
25 tot 30 jaar,Borger-Odoorn,Niet-westerse migratieachtergrond,39,15,24,28,9,19
25 tot 30 jaar,Borne,Totaal,1212,593,619,87,50,37
25 tot 30 jaar,Borne,Nederlandse achtergrond,1060,506,554, , , 
25 tot 30 jaar,Borne,Westerse migratieachtergrond,50,26,24,16,4,12
25 tot 30 jaar,Borne,Niet-westerse migratieachtergrond,102,61,41,71,46,25
25 tot 30 jaar,Borsele,Totaal,1216,642,574,76,27,49
25 tot 30 jaar,Borsele,Nederlandse achtergrond,1080,583,497, , , 
25 tot 30 jaar,Borsele,Westerse migratieachtergrond,89,39,50,47,18,29
25 tot 30 jaar,Borsele,Niet-westerse migratieachtergrond,47,20,27,29,9,20
25 tot 30 jaar,Boxmeer,Totaal,1453,793,660,206,119,87
25 tot 30 jaar,Boxmeer,Nederlandse achtergrond,1186,639,547, , , 
25 tot 30 jaar,Boxmeer,Westerse migratieachtergrond,112,54,58,77,33,44
25 tot 30 jaar,Boxmeer,Niet-westerse migratieachtergrond,155,100,55,129,86,43
25 tot 30 jaar,Boxtel,Totaal,1740,901,839,214,114,100
25 tot 30 jaar,Boxtel,Nederlandse achtergrond,1358,706,652, , , 
25 tot 30 jaar,Boxtel,Westerse migratieachtergrond,189,90,99,127,65,62
25 tot 30 jaar,Boxtel,Niet-westerse migratieachtergrond,193,105,88,87,49,38
25 tot 30 jaar,Breda,Totaal,13025,6537,6488,1757,835,922
25 tot 30 jaar,Breda,Nederlandse achtergrond,9508,4795,4713, , , 
25 tot 30 jaar,Breda,Westerse migratieachtergrond,1559,729,830,879,376,503
25 tot 30 jaar,Breda,Niet-westerse migratieachtergrond,1958,1013,945,878,459,419
25 tot 30 jaar,Brielle,Totaal,917,479,438,87,34,53
25 tot 30 jaar,Brielle,Nederlandse achtergrond,758,409,349, , , 
25 tot 30 jaar,Brielle,Westerse migratieachtergrond,87,37,50,50,19,31
25 tot 30 jaar,Brielle,Niet-westerse migratieachtergrond,72,33,39,37,15,22
25 tot 30 jaar,Bronckhorst,Totaal,1315,729,586,28,17,11
25 tot 30 jaar,Bronckhorst,Nederlandse achtergrond,1237,690,547, , , 
25 tot 30 jaar,Bronckhorst,Westerse migratieachtergrond,36,13,23,9,4,5
25 tot 30 jaar,Bronckhorst,Niet-westerse migratieachtergrond,42,26,16,19,13,6
25 tot 30 jaar,Brummen,Totaal,891,454,437,35,12,23
25 tot 30 jaar,Brummen,Nederlandse achtergrond,765,388,377, , , 
25 tot 30 jaar,Brummen,Westerse migratieachtergrond,35,15,20,9,0,9
25 tot 30 jaar,Brummen,Niet-westerse migratieachtergrond,91,51,40,26,12,14
25 tot 30 jaar,Brunssum,Totaal,1545,812,733,130,61,69
25 tot 30 jaar,Brunssum,Nederlandse achtergrond,1249,652,597, , , 
25 tot 30 jaar,Brunssum,Westerse migratieachtergrond,194,102,92,73,30,43
25 tot 30 jaar,Brunssum,Niet-westerse migratieachtergrond,102,58,44,57,31,26
25 tot 30 jaar,Bunnik,Totaal,608,293,315,81,35,46
25 tot 30 jaar,Bunnik,Nederlandse achtergrond,487,237,250, , , 
25 tot 30 jaar,Bunnik,Westerse migratieachtergrond,59,28,31,35,17,18
25 tot 30 jaar,Bunnik,Niet-westerse migratieachtergrond,62,28,34,46,18,28
25 tot 30 jaar,Bunschoten,Totaal,1398,700,698,166,85,81
25 tot 30 jaar,Bunschoten,Nederlandse achtergrond,1180,592,588, , , 
25 tot 30 jaar,Bunschoten,Westerse migratieachtergrond,147,71,76,129,63,66
25 tot 30 jaar,Bunschoten,Niet-westerse migratieachtergrond,71,37,34,37,22,15
25 tot 30 jaar,Buren,Totaal,1247,644,603,91,36,55
25 tot 30 jaar,Buren,Nederlandse achtergrond,1114,584,530, , , 
25 tot 30 jaar,Buren,Westerse migratieachtergrond,83,38,45,59,22,37
25 tot 30 jaar,Buren,Niet-westerse migratieachtergrond,50,22,28,32,14,18
25 tot 30 jaar,Capelle aan den IJssel,Totaal,4052,1970,2082,818,378,440
25 tot 30 jaar,Capelle aan den IJssel,Nederlandse achtergrond,2289,1146,1143, , , 
25 tot 30 jaar,Capelle aan den IJssel,Westerse migratieachtergrond,442,209,233,235,100,135
25 tot 30 jaar,Capelle aan den IJssel,Niet-westerse migratieachtergrond,1321,615,706,583,278,305
25 tot 30 jaar,Castricum,Totaal,1633,892,741,120,66,54
25 tot 30 jaar,Castricum,Nederlandse achtergrond,1395,761,634, , , 
25 tot 30 jaar,Castricum,Westerse migratieachtergrond,102,53,49,39,18,21
25 tot 30 jaar,Castricum,Niet-westerse migratieachtergrond,136,78,58,81,48,33
25 tot 30 jaar,Coevorden,Totaal,1578,798,780,132,72,60
25 tot 30 jaar,Coevorden,Nederlandse achtergrond,1386,694,692, , , 
25 tot 30 jaar,Coevorden,Westerse migratieachtergrond,84,41,43,40,18,22
25 tot 30 jaar,Coevorden,Niet-westerse migratieachtergrond,108,63,45,92,54,38
25 tot 30 jaar,Cranendonck,Totaal,1036,547,489,132,80,52
25 tot 30 jaar,Cranendonck,Nederlandse achtergrond,848,431,417, , , 
25 tot 30 jaar,Cranendonck,Westerse migratieachtergrond,108,59,49,65,32,33
25 tot 30 jaar,Cranendonck,Niet-westerse migratieachtergrond,80,57,23,67,48,19
25 tot 30 jaar,Cromstrijen,Totaal,609,299,310,27,10,17
25 tot 30 jaar,Cromstrijen,Nederlandse achtergrond,553,276,277, , , 
25 tot 30 jaar,Cromstrijen,Westerse migratieachtergrond,27,8,19,9,2,7
25 tot 30 jaar,Cromstrijen,Niet-westerse migratieachtergrond,29,15,14,18,8,10
25 tot 30 jaar,Cuijk,Totaal,1218,650,568,156,77,79
25 tot 30 jaar,Cuijk,Nederlandse achtergrond,898,488,410, , , 
25 tot 30 jaar,Cuijk,Westerse migratieachtergrond,127,59,68,68,29,39
25 tot 30 jaar,Cuijk,Niet-westerse migratieachtergrond,193,103,90,88,48,40
25 tot 30 jaar,Culemborg,Totaal,1499,767,732,151,55,96
25 tot 30 jaar,Culemborg,Nederlandse achtergrond,1105,574,531, , , 
25 tot 30 jaar,Culemborg,Westerse migratieachtergrond,131,51,80,63,22,41
25 tot 30 jaar,Culemborg,Niet-westerse migratieachtergrond,263,142,121,88,33,55
25 tot 30 jaar,Dalfsen,Totaal,1372,721,651,68,29,39
25 tot 30 jaar,Dalfsen,Nederlandse achtergrond,1283,676,607, , , 
25 tot 30 jaar,Dalfsen,Westerse migratieachtergrond,51,24,27,39,14,25
25 tot 30 jaar,Dalfsen,Niet-westerse migratieachtergrond,38,21,17,29,15,14
25 tot 30 jaar,Dantumadiel,Totaal,958,522,436,47,21,26
25 tot 30 jaar,Dantumadiel,Nederlandse achtergrond,896,492,404, , , 
25 tot 30 jaar,Dantumadiel,Westerse migratieachtergrond,18,10,8,11,5,6
25 tot 30 jaar,Dantumadiel,Niet-westerse migratieachtergrond,44,20,24,36,16,20
25 tot 30 jaar,Delft,Totaal,10726,6458,4268,4008,2428,1580
25 tot 30 jaar,Delft,Nederlandse achtergrond,5583,3371,2212, , , 
25 tot 30 jaar,Delft,Westerse migratieachtergrond,2106,1262,844,1650,982,668
25 tot 30 jaar,Delft,Niet-westerse migratieachtergrond,3037,1825,1212,2358,1446,912
25 tot 30 jaar,Delfzijl,Totaal,1225,662,563,197,118,79
25 tot 30 jaar,Delfzijl,Nederlandse achtergrond,880,476,404, , , 
25 tot 30 jaar,Delfzijl,Westerse migratieachtergrond,101,52,49,48,25,23
25 tot 30 jaar,Delfzijl,Niet-westerse migratieachtergrond,244,134,110,149,93,56
25 tot 30 jaar,Deurne,Totaal,1715,902,813,135,71,64
25 tot 30 jaar,Deurne,Nederlandse achtergrond,1497,786,711, , , 
25 tot 30 jaar,Deurne,Westerse migratieachtergrond,135,69,66,80,38,42
25 tot 30 jaar,Deurne,Niet-westerse migratieachtergrond,83,47,36,55,33,22
25 tot 30 jaar,Deventer,Totaal,6256,3134,3122,839,437,402
25 tot 30 jaar,Deventer,Nederlandse achtergrond,4536,2231,2305, , , 
25 tot 30 jaar,Deventer,Westerse migratieachtergrond,552,275,277,312,145,167
25 tot 30 jaar,Deventer,Niet-westerse migratieachtergrond,1168,628,540,527,292,235
25 tot 30 jaar,Diemen,Totaal,2230,1142,1088,696,316,380
25 tot 30 jaar,Diemen,Nederlandse achtergrond,907,498,409, , , 
25 tot 30 jaar,Diemen,Westerse migratieachtergrond,447,233,214,309,147,162
25 tot 30 jaar,Diemen,Niet-westerse migratieachtergrond,876,411,465,387,169,218
25 tot 30 jaar,Dinkelland,Totaal,1420,812,608,93,50,43
25 tot 30 jaar,Dinkelland,Nederlandse achtergrond,1287,740,547, , , 
25 tot 30 jaar,Dinkelland,Westerse migratieachtergrond,60,30,30,33,15,18
25 tot 30 jaar,Dinkelland,Niet-westerse migratieachtergrond,73,42,31,60,35,25
25 tot 30 jaar,Doesburg,Totaal,490,242,248,47,27,20
25 tot 30 jaar,Doesburg,Nederlandse achtergrond,356,166,190, , , 
25 tot 30 jaar,Doesburg,Westerse migratieachtergrond,45,20,25,15,6,9
25 tot 30 jaar,Doesburg,Niet-westerse migratieachtergrond,89,56,33,32,21,11
25 tot 30 jaar,Doetinchem,Totaal,3071,1587,1484,233,128,105
25 tot 30 jaar,Doetinchem,Nederlandse achtergrond,2550,1314,1236, , , 
25 tot 30 jaar,Doetinchem,Westerse migratieachtergrond,201,85,116,90,40,50
25 tot 30 jaar,Doetinchem,Niet-westerse migratieachtergrond,320,188,132,143,88,55
25 tot 30 jaar,Dongen,Totaal,1371,704,667,111,60,51
25 tot 30 jaar,Dongen,Nederlandse achtergrond,1142,586,556, , , 
25 tot 30 jaar,Dongen,Westerse migratieachtergrond,112,58,54,70,37,33
25 tot 30 jaar,Dongen,Niet-westerse migratieachtergrond,117,60,57,41,23,18
25 tot 30 jaar,Dongeradeel,Totaal,1261,676,585,53,24,29
25 tot 30 jaar,Dongeradeel,Nederlandse achtergrond,1175,634,541, , , 
25 tot 30 jaar,Dongeradeel,Westerse migratieachtergrond,45,24,21,21,10,11
25 tot 30 jaar,Dongeradeel,Niet-westerse migratieachtergrond,41,18,23,32,14,18
25 tot 30 jaar,Dordrecht,Totaal,7706,3829,3877,1399,657,742
25 tot 30 jaar,Dordrecht,Nederlandse achtergrond,4851,2431,2420, , , 
25 tot 30 jaar,Dordrecht,Westerse migratieachtergrond,942,402,540,555,217,338
25 tot 30 jaar,Dordrecht,Niet-westerse migratieachtergrond,1913,996,917,844,440,404
25 tot 30 jaar,Drechterland,Totaal,981,517,464,122,56,66
25 tot 30 jaar,Drechterland,Nederlandse achtergrond,821,443,378, , , 
25 tot 30 jaar,Drechterland,Westerse migratieachtergrond,115,55,60,96,45,51
25 tot 30 jaar,Drechterland,Niet-westerse migratieachtergrond,45,19,26,26,11,15
25 tot 30 jaar,Drimmelen,Totaal,1382,719,663,131,66,65
25 tot 30 jaar,Drimmelen,Nederlandse achtergrond,1187,617,570, , , 
25 tot 30 jaar,Drimmelen,Westerse migratieachtergrond,134,68,66,88,42,46
25 tot 30 jaar,Drimmelen,Niet-westerse migratieachtergrond,61,34,27,43,24,19
25 tot 30 jaar,Dronten,Totaal,2356,1232,1124,372,195,177
25 tot 30 jaar,Dronten,Nederlandse achtergrond,1785,933,852, , , 
25 tot 30 jaar,Dronten,Westerse migratieachtergrond,257,117,140,179,75,104
25 tot 30 jaar,Dronten,Niet-westerse migratieachtergrond,314,182,132,193,120,73
25 tot 30 jaar,Druten,Totaal,943,485,458,47,21,26
25 tot 30 jaar,Druten,Nederlandse achtergrond,823,429,394, , , 
25 tot 30 jaar,Druten,Westerse migratieachtergrond,47,19,28,19,6,13
25 tot 30 jaar,Druten,Niet-westerse migratieachtergrond,73,37,36,28,15,13
25 tot 30 jaar,Duiven,Totaal,1084,564,520,86,42,44
25 tot 30 jaar,Duiven,Nederlandse achtergrond,924,485,439, , , 
25 tot 30 jaar,Duiven,Westerse migratieachtergrond,53,25,28,18,8,10
25 tot 30 jaar,Duiven,Niet-westerse migratieachtergrond,107,54,53,68,34,34
25 tot 30 jaar,Echt-Susteren,Totaal,1546,832,714,153,86,67
25 tot 30 jaar,Echt-Susteren,Nederlandse achtergrond,1287,683,604, , , 
25 tot 30 jaar,Echt-Susteren,Westerse migratieachtergrond,160,82,78,73,34,39
25 tot 30 jaar,Echt-Susteren,Niet-westerse migratieachtergrond,99,67,32,80,52,28
25 tot 30 jaar,Edam-Volendam,Totaal,1839,956,883,130,67,63
25 tot 30 jaar,Edam-Volendam,Nederlandse achtergrond,1616,841,775, , , 
25 tot 30 jaar,Edam-Volendam,Westerse migratieachtergrond,94,49,45,57,28,29
25 tot 30 jaar,Edam-Volendam,Niet-westerse migratieachtergrond,129,66,63,73,39,34
25 tot 30 jaar,Ede,Totaal,7278,3679,3599,734,349,385
25 tot 30 jaar,Ede,Nederlandse achtergrond,5898,2996,2902, , , 
25 tot 30 jaar,Ede,Westerse migratieachtergrond,538,259,279,293,139,154
25 tot 30 jaar,Ede,Niet-westerse migratieachtergrond,842,424,418,441,210,231
25 tot 30 jaar,Eemnes,Totaal,360,181,179,21,14,7
25 tot 30 jaar,Eemnes,Nederlandse achtergrond,320,156,164, , , 
25 tot 30 jaar,Eemnes,Westerse migratieachtergrond,13,7,6,6,3,3
25 tot 30 jaar,Eemnes,Niet-westerse migratieachtergrond,27,18,9,15,11,4
25 tot 30 jaar,Eemsmond,Totaal,703,384,319,63,35,28
25 tot 30 jaar,Eemsmond,Nederlandse achtergrond,612,332,280, , , 
25 tot 30 jaar,Eemsmond,Westerse migratieachtergrond,45,26,19,26,15,11
25 tot 30 jaar,Eemsmond,Niet-westerse migratieachtergrond,46,26,20,37,20,17
25 tot 30 jaar,Eersel,Totaal,905,482,423,49,30,19
25 tot 30 jaar,Eersel,Nederlandse achtergrond,824,434,390, , , 
25 tot 30 jaar,Eersel,Westerse migratieachtergrond,51,28,23,24,14,10
25 tot 30 jaar,Eersel,Niet-westerse migratieachtergrond,30,20,10,25,16,9
25 tot 30 jaar,Eijsden-Margraten,Totaal,1321,691,630,78,36,42
25 tot 30 jaar,Eijsden-Margraten,Nederlandse achtergrond,1146,595,551, , , 
25 tot 30 jaar,Eijsden-Margraten,Westerse migratieachtergrond,141,78,63,50,21,29
25 tot 30 jaar,Eijsden-Margraten,Niet-westerse migratieachtergrond,34,18,16,28,15,13
25 tot 30 jaar,Eindhoven,Totaal,20147,10927,9220,5859,3155,2704
25 tot 30 jaar,Eindhoven,Nederlandse achtergrond,11646,6352,5294, , , 
25 tot 30 jaar,Eindhoven,Westerse migratieachtergrond,3503,1794,1709,2635,1351,1284
25 tot 30 jaar,Eindhoven,Niet-westerse migratieachtergrond,4998,2781,2217,3224,1804,1420
25 tot 30 jaar,Elburg,Totaal,1286,636,650,53,26,27
25 tot 30 jaar,Elburg,Nederlandse achtergrond,1206,590,616, , , 
25 tot 30 jaar,Elburg,Westerse migratieachtergrond,38,22,16,20,9,11
25 tot 30 jaar,Elburg,Niet-westerse migratieachtergrond,42,24,18,33,17,16
25 tot 30 jaar,Emmen,Totaal,5596,2858,2738,420,225,195
25 tot 30 jaar,Emmen,Nederlandse achtergrond,4860,2471,2389, , , 
25 tot 30 jaar,Emmen,Westerse migratieachtergrond,390,191,199,202,101,101
25 tot 30 jaar,Emmen,Niet-westerse migratieachtergrond,346,196,150,218,124,94
25 tot 30 jaar,Enkhuizen,Totaal,1024,546,478,132,52,80
25 tot 30 jaar,Enkhuizen,Nederlandse achtergrond,803,439,364, , , 
25 tot 30 jaar,Enkhuizen,Westerse migratieachtergrond,119,49,70,97,36,61
25 tot 30 jaar,Enkhuizen,Niet-westerse migratieachtergrond,102,58,44,35,16,19
25 tot 30 jaar,Enschede,Totaal,11854,6471,5383,2430,1295,1135
25 tot 30 jaar,Enschede,Nederlandse achtergrond,7699,4287,3412, , , 
25 tot 30 jaar,Enschede,Westerse migratieachtergrond,1597,825,772,1000,509,491
25 tot 30 jaar,Enschede,Niet-westerse migratieachtergrond,2558,1359,1199,1430,786,644
25 tot 30 jaar,Epe,Totaal,1515,790,725,96,50,46
25 tot 30 jaar,Epe,Nederlandse achtergrond,1298,672,626, , , 
25 tot 30 jaar,Epe,Westerse migratieachtergrond,102,47,55,49,23,26
25 tot 30 jaar,Epe,Niet-westerse migratieachtergrond,115,71,44,47,27,20
25 tot 30 jaar,Ermelo,Totaal,1462,778,684,103,56,47
25 tot 30 jaar,Ermelo,Nederlandse achtergrond,1269,671,598, , , 
25 tot 30 jaar,Ermelo,Westerse migratieachtergrond,98,52,46,50,23,27
25 tot 30 jaar,Ermelo,Niet-westerse migratieachtergrond,95,55,40,53,33,20
25 tot 30 jaar,Etten-Leur,Totaal,2296,1103,1193,266,118,148
25 tot 30 jaar,Etten-Leur,Nederlandse achtergrond,1754,843,911, , , 
25 tot 30 jaar,Etten-Leur,Westerse migratieachtergrond,270,133,137,146,64,82
25 tot 30 jaar,Etten-Leur,Niet-westerse migratieachtergrond,272,127,145,120,54,66
25 tot 30 jaar,Ferwerderadiel,Totaal,444,234,210,32,13,19
25 tot 30 jaar,Ferwerderadiel,Nederlandse achtergrond,399,215,184, , , 
25 tot 30 jaar,Ferwerderadiel,Westerse migratieachtergrond,22,9,13,13,5,8
25 tot 30 jaar,Ferwerderadiel,Niet-westerse migratieachtergrond,23,10,13,19,8,11
25 tot 30 jaar,Franekeradeel,Totaal,1022,562,460,90,54,36
25 tot 30 jaar,Franekeradeel,Nederlandse achtergrond,879,480,399, , , 
25 tot 30 jaar,Franekeradeel,Westerse migratieachtergrond,92,48,44,53,29,24
25 tot 30 jaar,Franekeradeel,Niet-westerse migratieachtergrond,51,34,17,37,25,12
25 tot 30 jaar,De Fryske Marren,Totaal,2454,1291,1163,164,87,77
25 tot 30 jaar,De Fryske Marren,Nederlandse achtergrond,2201,1155,1046, , , 
25 tot 30 jaar,De Fryske Marren,Westerse migratieachtergrond,104,48,56,46,16,30
25 tot 30 jaar,De Fryske Marren,Niet-westerse migratieachtergrond,149,88,61,118,71,47
25 tot 30 jaar,Geertruidenberg,Totaal,1135,558,577,73,32,41
25 tot 30 jaar,Geertruidenberg,Nederlandse achtergrond,1007,499,508, , , 
25 tot 30 jaar,Geertruidenberg,Westerse migratieachtergrond,66,30,36,35,14,21
25 tot 30 jaar,Geertruidenberg,Niet-westerse migratieachtergrond,62,29,33,38,18,20
25 tot 30 jaar,Geldermalsen,Totaal,1297,686,611,89,44,45
25 tot 30 jaar,Geldermalsen,Nederlandse achtergrond,1150,607,543, , , 
25 tot 30 jaar,Geldermalsen,Westerse migratieachtergrond,83,43,40,45,21,24
25 tot 30 jaar,Geldermalsen,Niet-westerse migratieachtergrond,64,36,28,44,23,21
25 tot 30 jaar,Geldrop-Mierlo,Totaal,2039,1042,997,218,109,109
25 tot 30 jaar,Geldrop-Mierlo,Nederlandse achtergrond,1561,788,773, , , 
25 tot 30 jaar,Geldrop-Mierlo,Westerse migratieachtergrond,198,100,98,97,47,50
25 tot 30 jaar,Geldrop-Mierlo,Niet-westerse migratieachtergrond,280,154,126,121,62,59
25 tot 30 jaar,Gemert-Bakel,Totaal,1788,938,850,187,95,92
25 tot 30 jaar,Gemert-Bakel,Nederlandse achtergrond,1528,805,723, , , 
25 tot 30 jaar,Gemert-Bakel,Westerse migratieachtergrond,191,100,91,143,74,69
25 tot 30 jaar,Gemert-Bakel,Niet-westerse migratieachtergrond,69,33,36,44,21,23
25 tot 30 jaar,Gennep,Totaal,788,427,361,62,34,28
25 tot 30 jaar,Gennep,Nederlandse achtergrond,664,357,307, , , 
25 tot 30 jaar,Gennep,Westerse migratieachtergrond,64,33,31,30,17,13
25 tot 30 jaar,Gennep,Niet-westerse migratieachtergrond,60,37,23,32,17,15
25 tot 30 jaar,Giessenlanden,Totaal,667,342,325,44,18,26
25 tot 30 jaar,Giessenlanden,Nederlandse achtergrond,593,308,285, , , 
25 tot 30 jaar,Giessenlanden,Westerse migratieachtergrond,35,14,21,21,4,17
25 tot 30 jaar,Giessenlanden,Niet-westerse migratieachtergrond,39,20,19,23,14,9
25 tot 30 jaar,Gilze en Rijen,Totaal,1382,710,672,162,83,79
25 tot 30 jaar,Gilze en Rijen,Nederlandse achtergrond,1080,552,528, , , 
25 tot 30 jaar,Gilze en Rijen,Westerse migratieachtergrond,108,52,56,65,30,35
25 tot 30 jaar,Gilze en Rijen,Niet-westerse migratieachtergrond,194,106,88,97,53,44
25 tot 30 jaar,Goeree-Overflakkee,Totaal,2489,1288,1201,103,53,50
25 tot 30 jaar,Goeree-Overflakkee,Nederlandse achtergrond,2316,1204,1112, , , 
25 tot 30 jaar,Goeree-Overflakkee,Westerse migratieachtergrond,100,50,50,54,31,23
